text,headlines
 what's the notes where withdrawn is 1956–57,SELECT Notes FROM table WHERE Withdrawn = 1956–57
Who was the lyricist for gopal krishna and co singer of solo?,SELECT Lyricist FROM table WHERE Film name = Gopal Krishna AND Co-singer = Solo
What was the number of music directors where the suresh wadkar co singer of bhayanak?,SELECT COUNT Music director FROM table WHERE Co-singer = Suresh Wadkar AND Film name = Bhayanak
"What was the lyricst of ""na jane aise ho gaya kaise""?","SELECT Lyricist FROM table WHERE Song name = ""Na Jane Aise Ho Gaya Kaise"""
how many times is the co-singer suresh wadkar and the film name is tera dukh mera dukh?,SELECT COUNT Lyricist FROM table WHERE Co-singer = Suresh Wadkar AND Film name = Tera Dukh Mera Dukh
what are the film names with the co-singer vinod rathod?,SELECT Film name FROM table WHERE Co-singer = Vinod Rathod
what is the song name for the film name ganga kare insaaf?,SELECT Song name FROM table WHERE Film name = Ganga Kare Insaaf
what are the song names for the film kaal bhairav?,SELECT Song name FROM table WHERE Film name = Kaal Bhairav
"who is the music director for the song ""jekhanete jaai ami 1""?","SELECT Music director FROM table WHERE Song name = ""Jekhanete Jaai Ami 1"""
What was the 1845 disposal for sussex?,SELECT 1845 disposal FROM table WHERE Name = Sussex
What was the maximum l&cr number for archimedes?,SELECT MAX L&CR No. FROM table WHERE Name = Archimedes
What was the type of sussex?,SELECT Type FROM table WHERE Name = Sussex
Where did Test Mission: War Heads and Missile Payload launch when there was a partial failure?,SELECT Launch site FROM table WHERE Mission = Test Mission: war heads and Missile payload AND Results = Partial Failure
"Which missions were scheduled to launch on November 16, 2006?","SELECT Mission FROM table WHERE Launch date = November 16, 2006"
Which authority has a rocket launch called rehbar-ii?,SELECT Institutional authority FROM table WHERE Rocket launch = Rehbar-II
Which authority has a rocket launch called rehnuma-8?,SELECT Institutional authority FROM table WHERE Rocket launch = Rehnuma-8
Which authority has a rocket launch called shahpar-2?,SELECT Institutional authority FROM table WHERE Rocket launch = Shahpar-2
Which authority has a rocket launch called rehbar-5?,SELECT COUNT Derivatives FROM table WHERE Rocket launch = Rehbar-5
"What denominations are the stamps with themes opera, léopold simoneau and pierrette alarie?","SELECT Denomination FROM table WHERE Theme = Opera, Léopold Simoneau and Pierrette Alarie"
"What kind of paper were the stamps with the theme duck decoys, barrow's golden eye printed on?","SELECT Paper Type FROM table WHERE Theme = Duck Decoys, Barrow's Golden Eye"
List all the themes designed by Isabelle Toussaint.,SELECT Theme FROM table WHERE Design = Isabelle Toussaint
How many paper types did Ian Drolet design stamps on?,SELECT COUNT Paper Type FROM table WHERE Design = Ian Drolet
Who is the designer of the Christmas: Winter Fun (USA) stamp?,SELECT Design FROM table WHERE Theme = Christmas: Winter Fun (USA)
How many stamps were designed for the theme of XII Summit de la Francophonie?,SELECT COUNT Design FROM table WHERE Theme = XII Summit de la Francophonie
"Where is the first day cover cancellation for the 3 April 2008 IIHF World Championships, Quebec City stamp?","SELECT First Day Cover Cancellation FROM table WHERE Date of Issue = 3 April 2008 AND Theme = IIHF World Championships, Quebec City"
How many premier episodes were there with the title survivor's law ii?,SELECT COUNT Premiere FROM table WHERE English title = Survivor's Law II
What is the Chinese name that has a 31 average?,SELECT Chinese title FROM table WHERE Average = 31
What is the rank of finale 37?,SELECT Rank FROM table WHERE Finale = 37
what is the Chinese name for Forensic heroes ii?,SELECT Chinese title FROM table WHERE English title = Forensic Heroes II
What numbr on the list had a peak rating of 42?,SELECT MIN Rank FROM table WHERE Peak = 42
 what's the electorate where election date is 16 cannot handle non-empty timestamp argument!,SELECT Electorate FROM table WHERE Election date = 16 Cannot handle non-empty timestamp argument!
 what's the province where member is frederick merriman category:articles with hcards,SELECT Province FROM table WHERE Member = Frederick Merriman Category:Articles with hCards
 what's the election date where electorate is omata,SELECT Election date FROM table WHERE Electorate = Omata
 what's the election date where member is william richmond category:articles with hcards,SELECT Election date FROM table WHERE Member = William Richmond Category:Articles with hCards
 what's the province where member is dingley brittin category:articles with hcards,SELECT Province FROM table WHERE Member = Dingley Brittin Category:Articles with hCards
 what's the election date where electorate is christchurch country,SELECT Election date FROM table WHERE Electorate = Christchurch Country
What is the county for senator C. Anthony Muse?,SELECT County(s) Represented FROM table WHERE Member Senator = C. Anthony Muse
Who is the senator for district 24?,SELECT Member Senator FROM table WHERE District = 24
How many entries are shown for first elected for district 41?,SELECT COUNT First Elected FROM table WHERE District = 41
What is the total amount of allied-unrelated where the component is human capital?,SELECT COUNT Allied-Unrelated FROM table WHERE Component = Human Capital
How many integrated allied-related are there?,SELECT Integrated FROM table WHERE Allied-Related = Many
What is the name of the integrated where the component are customers?,SELECT Integrated FROM table WHERE Component = Customers
what is the integrated in which the holding allied-unrelated is many?,SELECT Holding FROM table WHERE Allied-Unrelated = Many
What is the name of the integrated where allied-related is shared?,SELECT Component FROM table WHERE Allied-Related = Shared
Who were the writers for series number 20?,SELECT Written by FROM table WHERE Series # = 20
"What is the production code for the show that aired on October 27, 1994?","SELECT MAX Production code FROM table WHERE Original air date = October 27, 1994"
Who was the director of the Series 1 episode?,SELECT Directed by FROM table WHERE Series # = 1
Which team played on December 5?,SELECT Team FROM table WHERE Date = December 5
What was the location attendance when High points was by Pierce (22)?,SELECT Location Attendance FROM table WHERE High points = Pierce (22)
What date did the Bulls play the LA Lakers?,SELECT Date FROM table WHERE Team = LA Lakers
What team were the Bulls hosted by on December 7?,SELECT Team FROM table WHERE Date = December 7
Who had the highest assists in game 4?,SELECT High assists FROM table WHERE Game = 4
How many games was Damien Wilkins (27) the high scorer?,SELECT MIN Game FROM table WHERE High points = Damien Wilkins (27)
"What is the name when born is december 30, 1957 detroit, mi?","SELECT Name FROM table WHERE Born = December 30, 1957 Detroit, MI"
"What is the weight(lbs) when born is april 6, 1954 detroit, mi?","SELECT Weight(lbs) FROM table WHERE Born = April 6, 1954 Detroit, MI"
What is the name when the position is de and college is ohio state?,SELECT Name FROM table WHERE Position = DE AND College = Ohio State
What is under drafted when pro team is arizona cardinals?,SELECT Drafted FROM table WHERE Pro Team = Arizona Cardinals
"What is the position when drafted is 1974,r11,p11?","SELECT Position FROM table WHERE Drafted = 1974,R11,P11"
In which year was the Weight 170?,SELECT Year FROM table WHERE Weight = 170
What number (#) is associated with the Name Ron Baxter?,SELECT COUNT # FROM table WHERE Name = Ron Baxter
Crockett High School had which number(#)?,SELECT # FROM table WHERE High School = Crockett
Which home town was the high school Catholic University located in?,SELECT Home Town FROM table WHERE High School = Catholic University
"How many years have the home town of Baton Rouge, LA?","SELECT COUNT Year FROM table WHERE Home Town = Baton Rouge, LA"
What height was the forward position at Crockett High School?,SELECT Height FROM table WHERE Position = Forward AND High School = Crockett
"What are the commissioned for scotts, greenock and chieftain?","SELECT Commissioned FROM table WHERE Builder = Scotts, Greenock AND Name = Chieftain"
What is the builder launched 30 october 1944?,SELECT Builder FROM table WHERE Launched = 30 October 1944
what is the minimum voted no where percent no is 56.6,SELECT MIN Voted No FROM table WHERE Percent No = 56.6
 what's the percent yes where voted yes is 2410119,SELECT Percent Yes FROM table WHERE Voted Yes = 2410119
 what's the jurisdiction where percent yes is 43.4,SELECT Jurisdiction FROM table WHERE Percent Yes = 43.4
what is the minimum voted yes where percent no is 68.2,SELECT MIN Voted Yes FROM table WHERE Percent No = 68.2
 what's the jurisdiction where voted no is 322971,SELECT Jurisdiction FROM table WHERE Voted No = 322971
 what's the date of completion where success is yes,SELECT Date of completion FROM table WHERE Success = Yes
 what's the deadline for completion where description is iphone recall within the first 3 months of release,SELECT Deadline for completion FROM table WHERE Description = iPhone recall within the first 3 months of release
" what's the success where date of completion is september 28, 2007","SELECT Success FROM table WHERE Date of completion = September 28, 2007"
" what's the date of completion where deadline for completion is september 30, 2007","SELECT Date of completion FROM table WHERE Deadline for completion = September 30, 2007"
what is the total number of deadline for completion where description is facebook becomes a publicly traded company,SELECT COUNT Deadline for completion FROM table WHERE Description = Facebook becomes a publicly traded company
" what's the success where deadline for completion is october 7, 2007","SELECT Success FROM table WHERE Deadline for completion = October 7, 2007"
The earliest year is 1996.,SELECT MIN Year FROM table
There are 5 imports of plywood.,SELECT Import FROM table WHERE Product = Plywood
What is the score for interview when the preliminaries score is 8.425?,SELECT Interview FROM table WHERE Preliminaries = 8.425
What is the interview score when the preliminaries score is 8.400?,SELECT Interview FROM table WHERE Preliminaries = 8.400
What is the score for swimsuit when the average is 8.791?,SELECT Swimsuit FROM table WHERE Average = 8.791
What is the score for the interview for the state of New York?,SELECT Interview FROM table WHERE State = New York
How many times did district of Columbia receive a score for evening gown?,SELECT COUNT Evening Gown FROM table WHERE State = District of Columbia
What is the average score when the swimsuit score is 8.503?,SELECT Average FROM table WHERE Swimsuit = 8.503
What is the number of gt1 winning team for rnd 5?,SELECT COUNT GT1 Winning Team FROM table WHERE Rnd = 5
What is the rnd for gt1 winning team for doc bundy andy wallace?,SELECT Rnd FROM table WHERE GT1 Winning Team = Doc Bundy Andy Wallace
Name the gt1 winning team for #54 bell motorsports,SELECT GT1 Winning Team FROM table WHERE GT2 Winning Team = #54 Bell Motorsports
What is the title of the episode that was watched by 8.92 million viewers?,SELECT Episode title FROM table WHERE U.S. viewers (millions) = 8.92
How many episodes had 9.90 million viewers?,SELECT COUNT Episode title FROM table WHERE U.S. viewers (millions) = 9.90
What is the series number of the episode watched by 10.89 million viewers?,SELECT MAX Series # FROM table WHERE U.S. viewers (millions) = 10.89
What is the name of the episode written by Sheila Lawrence & Henry Alonso Myers?,SELECT Episode title FROM table WHERE Writer(s) = Sheila Lawrence & Henry Alonso Myers
What is the pick number of the defensive back?,SELECT COUNT Overall Pick # FROM table WHERE Position = Defensive Back
What is the position for the pick number 17?,SELECT Position FROM table WHERE Overall Pick # = 17
What is the college of the afl team of buffalo bills?,SELECT College FROM table WHERE AFL Team = Buffalo Bills
What is the position of john charles?,SELECT Position FROM table WHERE Player = John Charles
What is the largest pick number of the new york jets?,SELECT MAX Overall Pick # FROM table WHERE AFL Team = New York Jets
What is the afl team of the offensive guard?,SELECT AFL Team FROM table WHERE Position = Offensive Guard
What was the women's singles were men's doubles were steen fladberg jens peter nierhoff?,SELECT Womens singles FROM table WHERE Mens doubles = Steen Fladberg Jens Peter Nierhoff
What are the mixed doubles where the mens singles is kim brodersen?,SELECT Mixed doubles FROM table WHERE Mens singles = Kim Brodersen
 what's the first appearance where character(s) is iron man,SELECT First Appearance FROM table WHERE Character(s) = Iron Man
what is the total number of publisher where cover date is may 1939,SELECT COUNT Publisher FROM table WHERE Cover Date = May 1939
what is the total number of publisher where first appearance is daredevil #1,SELECT COUNT Publisher FROM table WHERE First Appearance = Daredevil #1
 what's the cover date where character(s) is sandman (wesley dodds),SELECT Cover Date FROM table WHERE Character(s) = Sandman (Wesley Dodds)
 what's the cover date where character(s) is x-men ; magneto,SELECT Cover Date FROM table WHERE Character(s) = X-Men ; Magneto
 what's the estimated value where cover date is august 1962,SELECT Estimated Value FROM table WHERE Cover Date = August 1962
What theme placed as #3 in the finale?,SELECT Result FROM table WHERE Theme = Finale AND Order # = 3
What is the theme for the episode selection process?,SELECT Theme FROM table WHERE Episode = Selection Process
"What is the order number for the song choice ""detalles""? ","SELECT Order # FROM table WHERE Song choice = ""Detalles"""
What is the order number for songs by the original artist Luis Fonsi?,SELECT Order # FROM table WHERE Original artist = Luis Fonsi
What is the song choice when the theme is not aired?,SELECT Theme FROM table WHERE Song choice = Not Aired
What years did Markose Bristow Madhumita Bisht win the mens singles and/or the mixed doubles?,SELECT Mens singles FROM table WHERE Mixed doubles = Markose Bristow Madhumita Bisht
Who won the womens doubles in 2002?,SELECT Womens doubles FROM table WHERE Season = 2002
How many total titles did Rupesh Kumar Sanave Thomas and Jwala Gutta Ashwini Ponnappa win total?,SELECT COUNT Womens singles FROM table WHERE Mens doubles = Rupesh Kumar Sanave Thomas AND Womens doubles = Jwala Gutta Ashwini Ponnappa
"In womens doubles and mens singles, what years did Arvind Bhat or Valiyaveetil Diju Jwala Gutta win?",SELECT Womens doubles FROM table WHERE Mens singles = Arvind Bhat AND Mixed doubles = Valiyaveetil Diju Jwala Gutta
How many titles did Trupti Murgunde claim?,SELECT Womens doubles FROM table WHERE Womens singles = Trupti Murgunde
What is the pennant for 4 may 1943?,SELECT Pennant FROM table WHERE Laid Down = 4 May 1943
What is the total number of fate for pennant of u33?,SELECT COUNT Fate FROM table WHERE Pennant = U33
What is the fate for 11 april 1944?,SELECT Fate FROM table WHERE Commissioned = 11 April 1944
What is the name for 30 september 1943?,SELECT Name FROM table WHERE Launched = 30 September 1943
What is the comissioned for 4 may 1943?,SELECT Commissioned FROM table WHERE Laid Down = 4 May 1943
What is the fate for 11 april 1944?,SELECT Fate FROM table WHERE Commissioned = 11 April 1944
"Who was the writters for the episode directed by Richard L. Bare, no. 8 in season?",SELECT Written by FROM table WHERE Directed by = Richard L. Bare AND No. in season = 8
"How many episodes had a title ""the great mayoralty campaign""?","SELECT COUNT Directed by FROM table WHERE Title = ""The Great Mayoralty Campaign"""
What is the location of the tournament that the share of winning is 7000?,SELECT Tournament location FROM table WHERE Winners share ($) = 7000
What year is Japan the country?,SELECT Year FROM table WHERE Country = Japan
What is the year that Dewi Claire Schreefel is the champion?,SELECT Year FROM table WHERE Champion = Dewi Claire Schreefel
What is the winners Share ($) in the year 2004?,SELECT MIN Winners share ($) FROM table WHERE Year = 2004
What is the tournament location when Vicky Hurst in the champion?,SELECT Tournament location FROM table WHERE Champion = Vicky Hurst
What is the intergiro classification of stage 21?,SELECT Intergiro classification FROM table WHERE Stage = 21
What is the trofeo fast team on stage 8?,SELECT Trofeo Fast Team FROM table WHERE Stage = 8
What is the general classification with the winner being evgeni berzin?,SELECT COUNT General classification FROM table WHERE Winner = Evgeni Berzin
What is the intergiro classification of alexander gontchenkov?,SELECT Intergiro classification FROM table WHERE Winner = Alexander Gontchenkov
what is total number of points where the stage is 17?,SELECT COUNT Points classification FROM table WHERE Stage = 17
What is the status of channel 44.1?,SELECT Status FROM table WHERE Channel = 44.1
What station has a univision network affiliation?,SELECT Station FROM table WHERE Network Affiliation = Univision
How many season did sportfreunde siegen win best supported club?,SELECT COUNT Season FROM table WHERE Best supported Club = Sportfreunde Siegen
"what are all the Canadian air dates where the u.s. air date is may 1, 2009","SELECT Canadian airdate FROM table WHERE U.S. airdate = May 1, 2009"
"What is the total number of u.s. air dates with a title of ""dermabrasion""","SELECT COUNT U.S. airdate FROM table WHERE Title = ""Dermabrasion"""
"What is the maximum season # with a u.s. air date is may 1, 2009","SELECT MAX Season # FROM table WHERE U.S. airdate = May 1, 2009"
"What is the total number of title with a u.s. air date of April 17, 2009","SELECT COUNT Title FROM table WHERE U.S. airdate = April 17, 2009"
what is the minimum production code,SELECT MIN Production code FROM table
"what are the u.s. air dates with a Canadian air date of may 4, 2009","SELECT U.S. airdate FROM table WHERE Canadian airdate = May 4, 2009"
Which is the charity that the background of the celebrity is heavyweight champion?,SELECT Charity FROM table WHERE Background = Heavyweight Champion
What is the original team of the celebrity who had the result 08 fired in week 10 (2008-03-06),SELECT Original Team FROM table WHERE Result = 08 Fired in week 10 (2008-03-06)
Which celebrity was raised 03?,SELECT Celebrity FROM table WHERE Raised = 03
What is the charity of the celebrity with the background reality star?,SELECT Charity FROM table WHERE Background = Reality Star
What is the background of the celebrity who had the result 13 the celebrity apprentice (2008-03-27)?,SELECT Background FROM table WHERE Result = 13 The Celebrity Apprentice (2008-03-27)
Where is Tamunosiki Atorudibo from,SELECT Country FROM table WHERE Athlete = Tamunosiki Atorudibo
Where is Dwain Chambers from,SELECT Location FROM table WHERE Athlete = Dwain Chambers
What was the stats of Trinidad and Tobago,SELECT Wind (m/s) FROM table WHERE Country = Trinidad and Tobago
Name the total number of wind m/s for sunday emmanuel,SELECT COUNT Wind (m/s) FROM table WHERE Athlete = Sunday Emmanuel
Name the wind m/s and fastest time of 10.25 and jeff demps,SELECT Wind (m/s) FROM table WHERE Fastest time (s) = 10.25 AND Athlete = Jeff Demps
What is the club when 1st leg is 1–2?,SELECT Club FROM table WHERE 1st leg = 1–2
What is the competition when aggregate is 1–4?,SELECT Competition FROM table WHERE Aggregate = 1–4
What is the 1st leg when club is a.c. libertas?,SELECT 1st leg FROM table WHERE Club = A.C. Libertas
What is the 1st leg when 2nd leg is 1–0 and competition is uefa champions league?,SELECT 1st leg FROM table WHERE 2nd leg = 1–0 AND Competition = UEFA Champions League
What is the competition when 2nd leg is 0–8?,SELECT Competition FROM table WHERE 2nd leg = 0–8
What is the round when 1st leg is 0–1?,SELECT Round FROM table WHERE 1st leg = 0–1
What is the branding of metro manila?,SELECT Branding FROM table WHERE Location = Metro Manila
When was the institution of Kansas city Kansas community college founded?,SELECT COUNT Founded FROM table WHERE Institution = Kansas City Kansas Community College
What is the mascot for the instition of Kansas city Kansas community college?,SELECT Mascot FROM table WHERE Institution = Kansas City Kansas Community College
How many school colors is there for the main campus location of highland?,SELECT COUNT School Colors FROM table WHERE Main Campus Location = Highland
"What is the mascot for the school founded in 1923 with the school colors of blue, red & white?","SELECT Mascot FROM table WHERE Founded = 1923 AND School Colors = Blue, Red & White"
What is the instition where the main campus location is overland park?,SELECT Institution FROM table WHERE Main Campus Location = Overland Park
What is the name of the institution with the mascot of blue devils?,SELECT Institution FROM table WHERE Mascot = Blue Devils
Name the people who wrote number 67,SELECT Written by FROM table WHERE Series # = 67
Name the number of season that was written by adam milch,SELECT MIN Season # FROM table WHERE Written by = Adam Milch
Name the season number for the direction of patrick norris,SELECT Season # FROM table WHERE Directed by = Patrick Norris
Who wrote the episode when the director was dean white?,SELECT Writer(s) FROM table WHERE Director = Dean White
Please list the total number of title with the production code 211.,SELECT COUNT Title FROM table WHERE Production Code = 211
"What is the production code of the episode titled, ""But there's Clay""?","SELECT MAX Production Code FROM table WHERE Title = ""But There's Clay"""
"Please give me the title of Season 2, episode 1. ",SELECT Title FROM table WHERE Season 2 Ep # = 1
Provide me with the name of the writer with the production code 210. ,SELECT Writer(s) FROM table WHERE Production Code = 210
What is the number of the original airdate with the production code 208.,SELECT COUNT Original Airdate FROM table WHERE Production Code = 208
What size is a 30 frames per minute,SELECT Frame size FROM table WHERE Maximum fps = 30
What is the size when the frame is bigger than for 4096.0,SELECT Aspect Ratio FROM table WHERE Width > 4096.0
What is the smallest frames per minute when the pixels are 5.0,SELECT least compression at 24 fps FROM table WHERE Mpix = 5.0
what's the width with frame size being 4.5k,SELECT Width FROM table WHERE Frame size = 4.5K
What is the callsign of tuguegarao,SELECT Callsign FROM table WHERE Location (Transmitter site) = Tuguegarao
What is the station type of calbayog,SELECT Station Type FROM table WHERE Location (Transmitter site) = Calbayog
What is the station type of smni tv-26 naga,SELECT Station Type FROM table WHERE Branding = SMNI TV-26 Naga
How many places featured the DXCL Callsign?,SELECT COUNT Location FROM table WHERE Callsign = DXCL
What was the branding in Dagupan?,SELECT Branding FROM table WHERE Location = Dagupan
What was the callsign in Zamboanga?,SELECT Callsign FROM table WHERE Location = Zamboanga
How much power was used when the callsign was DZYT?,SELECT Power (kW) FROM table WHERE Callsign = DZYT
What is the name of Season #15?,SELECT Title FROM table WHERE Season # = 15
What is the series number for Season #18?,SELECT MIN Series # FROM table WHERE Season # = 18
What was the first series in this list that Jack Orman wrote?,SELECT MIN Series # FROM table WHERE Written by = Jack Orman
"What date did the episode called ""Responsible Parties"" air on?","SELECT Original air date FROM table WHERE Title = ""Responsible Parties"""
What is the name of the episode that Richard Thorpe directed?,SELECT Title FROM table WHERE Directed by = Richard Thorpe
Name the population of maryborough when population of woocoo is 2700,SELECT Population (Maryborough) FROM table WHERE Population (Woocoo) = 2700
Name the most year when population of woocoo is 2700,SELECT MAX Year FROM table WHERE Population (Woocoo) = 2700
Who was crew chief for the team owned by Bob Leavine?,SELECT Crew Chief FROM table WHERE Owner(s) = Bob Leavine
Who drove for team Circle Sport?,SELECT Driver(s) FROM table WHERE Team = Circle Sport
Who drove for Phil Parsons Racing team?,SELECT Driver(s) FROM table WHERE Team = Phil Parsons Racing
Which teams used Wally Rogers as their crew chief?,SELECT Team FROM table WHERE Crew Chief = Wally Rogers
What is the largest number of rounds for the team that hired Donnie Wingo as crew chief?,SELECT MAX Rounds FROM table WHERE Crew Chief = Donnie Wingo
"What is the percent change (1990–2000) when the 2007 estimate is 0 1,598,161?","SELECT Percent Change (1990–2000) FROM table WHERE 2007 Estimate = 0 1,598,161"
What is the 2007 estimate when the rank (csa) is 4,SELECT 2007 Estimate FROM table WHERE Rank (CSA) = 4
"What is the 2007 estimate for tulsa-bartlesville, ok csa?","SELECT 2007 Estimate FROM table WHERE Combined Statistical Area (or Metropolitan Statistical Area if noted) = Tulsa-Bartlesville, OK CSA"
How many times was the rank (csa) was (msa 348)?,SELECT COUNT 2000 Population FROM table WHERE Rank (CSA) = (MSA 348)
What is the rank (csa) for the percentage change (1990-2000) was a034 +8.71%?,SELECT Rank (CSA) FROM table WHERE Percent Change (1990–2000) = A034 +8.71%
What tourmament has Genesis won previously?,SELECT Championship FROM table WHERE Previous champion(s) = Genesis
Who was the champion prior to Xix Xavant?,SELECT Previous champion(s) FROM table WHERE Champion(s) = Xix Xavant
"Who are the champions that have won at Aguas Buenas, Puerto Rico?","SELECT Champion(s) FROM table WHERE Location = Aguas Buenas, Puerto Rico"
What's the English translation of the Japanese title of the game Ranma ½: Chougi Rambuhen?,SELECT English Title/Translation FROM table WHERE Japanese Title = Ranma ½: Chougi Rambuhen
What's the genre of Fever Ranma ½: Hot Springs Athletic Chapter?,SELECT Genre FROM table WHERE English Title/Translation = Fever Ranma ½: Hot Springs Athletic Chapter
When was the game developed by Microvision released?,SELECT Initial Release Date FROM table WHERE Developer = Microvision
What's the number of verbal nouns with the basic stem (root) -bil-?,SELECT COUNT Verbal noun FROM table WHERE Basic stem (root) = -bil-
What does the non-present stem -erama- mean?,SELECT Meaning FROM table WHERE Non-present stem = -erama-
What's the participle when the verbal noun is i-bil-tze?,SELECT Participle FROM table WHERE Verbal noun = i-bil-tze
What does the basic stem (root) -rama- mean?,SELECT Meaning FROM table WHERE Basic stem (root) = -rama-
What is the verbal noun connected to the participle e-duki?,SELECT Verbal noun FROM table WHERE Participle = e-duki
what is the tries against where points is 60?,SELECT Tries against FROM table WHERE Points = 60
How many losing bonus where there when points against is 439?,SELECT COUNT Losing bonus FROM table WHERE Points against = 439
what is the drawn when the won is 12?,SELECT Drawn FROM table WHERE Won = 12
What is the tries against when the won is 14?,SELECT Tries against FROM table WHERE Won = 14
How many tries for are for 473 points for?,SELECT COUNT Tries for FROM table WHERE Points for = 473
what is the points for when the played is 22 and tries against is 68?,SELECT Points for FROM table WHERE Played = 22 AND Tries against = 68
what's the loss with try bonus being 5 and points for being 390,SELECT Lost FROM table WHERE Try bonus = 5 AND Points for = 390
what's the win with points for being 376,SELECT Won FROM table WHERE Points for = 376
what's the loss with points for being 594,SELECT Lost FROM table WHERE Points for = 594
what's the tries against with tries for being 47,SELECT Tries against FROM table WHERE Tries for = 47
what's the won with club being ammanford rfc,SELECT Won FROM table WHERE Club = Ammanford RFC
 how many drawn with tries against being 24,SELECT COUNT Drawn FROM table WHERE Tries against = 24
What were the drawn with points against at 416?,SELECT Drawn FROM table WHERE Points against = 416
What was the amount won with tries against at 54?,SELECT Won FROM table WHERE Tries against = 54
What was the lost with tries for?,SELECT Lost FROM table WHERE Tries for = Tries for
What was the points againt when played is played?,SELECT Points against FROM table WHERE Played = Played
What was the tries for with tries against at 33?,SELECT Tries for FROM table WHERE Tries against = 33
What was the played with club tumble rfc?,SELECT Played FROM table WHERE Club = Tumble RFC
What consoles was Shenmue released on?,SELECT Console FROM table WHERE Franchise or Game = Shenmue
Which main developer made their first release in 1991 and created the Mega Drive/Genesis console?,SELECT Main Developer FROM table WHERE First Release = 1991 AND Console = Mega Drive/Genesis
How many players currently play for Barons Riga?,SELECT COUNT Position FROM table WHERE Current Club = Barons Riga
How tall was Player #10?,SELECT Height FROM table WHERE No = 10
What is the earliest any of these players were born?,SELECT MIN Year born FROM table
Which player number is 2.10 meters tall?,SELECT No FROM table WHERE Height = 2.10
What position was played by the player who was 2.12 meters tall?,SELECT Position FROM table WHERE Height = 2.12
What current conference is Post University a member of?,SELECT Current Conference FROM table WHERE Institution = Post University
What institution has the nickname Penmen?,SELECT Institution FROM table WHERE Nickname = Penmen
Where is the University at Albany located?,SELECT Location FROM table WHERE Institution = University at Albany
What's the classification of the institution nicknamed Dolphins?,SELECT Classification FROM table WHERE Nickname = Dolphins
What's the nickname of the University of Massachusetts Lowell (UMass Lowell)?,SELECT Nickname FROM table WHERE Institution = University of Massachusetts Lowell (UMass Lowell)
What is Ido Kozikaro's position?,SELECT Position FROM table WHERE Player = Ido Kozikaro
What player plays center?,SELECT Player FROM table WHERE Position = Center
What are the numbers of the players currently playing for Ironi Nahariya?,SELECT No FROM table WHERE Current Club = Ironi Nahariya
What player is 2.01 m tall?,SELECT Player FROM table WHERE Height = 2.01
What's Yotam Halperin's position?,SELECT Position FROM table WHERE Player = Yotam Halperin
What current club does the player born in 1984 play for?,SELECT Current Club FROM table WHERE Year born = 1984
What is the height for player number 5?,SELECT COUNT Height FROM table WHERE No = 5
What height is player number 9?,SELECT Height FROM table WHERE No = 9
WHat is the number for the player whose height is 2.01?,SELECT COUNT Player FROM table WHERE Height = 2.01
What year was the player with the height 2.04 born?,SELECT MIN Year born FROM table WHERE Height = 2.04
How many players wore number 8?,SELECT COUNT Height FROM table WHERE No = 8
What player was born in 1983?,SELECT Player FROM table WHERE Year born = 1983
What club does the player who is 1.97 m tall play for?,SELECT Current Club FROM table WHERE Height = 1.97
How many players are from energa czarni?,SELECT COUNT Position FROM table WHERE Current Club = Energa Czarni
What year was Robert Skibniewski born?,SELECT Year born FROM table WHERE Player = Robert Skibniewski
What No is the player Zoran Erceg,SELECT MIN No FROM table WHERE Player = Zoran Erceg
What is the iclandic of the glossary for presenta for mi locaria,SELECT The Icelandic of the glossary FROM table WHERE The Basque of the glossary = presenta for mi locaria
Name the english translation of giefdu mier socka bond,SELECT English translation FROM table WHERE The Icelandic of the glossary = giefdu mier socka bond
Name the english translation of 219,SELECT English translation FROM table WHERE Word number = 219
Name the incelandic of the glossary for 218,SELECT The Icelandic of the glossary FROM table WHERE Word number = 218
What's the type of printer ports in the model number EX Plus3?,SELECT Printer ports FROM table WHERE Model number = EX Plus3
What is the number of the model with three parallel printer ports?,SELECT Model number FROM table WHERE Printer ports = Three Parallel
What is the type of the printer ports included in the EX Plus3 model number?,SELECT Printer ports FROM table WHERE Model number = EX Plus3
What are the network protocols for the model that has been discontinued in favor of the EN1700?,SELECT Network protocols FROM table WHERE Notes = Discontinued in favor of the en1700
How many people live in  铅山县?,SELECT MAX Population FROM table WHERE Simplified = 铅山县
What is the traditional way to write the name of the district who's area is 2331?,SELECT Traditional FROM table WHERE Area = 2331
What is the capital of the district who's simplified name is  信州区?,SELECT COUNT Pinyin FROM table WHERE Simplified = 信州区
How many people live in the district who's capital is  héngfēng xiàn?,SELECT Population FROM table WHERE Pinyin = Héngfēng Xiàn
What is the density of yushan county?,SELECT COUNT Density FROM table WHERE English Name = Yushan County
How many gold medals does the Choctawhatchee High School have?,SELECT MAX Gold Medals FROM table WHERE Ensemble = Choctawhatchee High School
How many gold medals does each school who has a total of 1 medal have?,SELECT Gold Medals FROM table WHERE Total Medals = 1
What is the time for stage ss18?,SELECT Time FROM table WHERE Stage = SS18
Name the length for stage ss22,SELECT Length FROM table WHERE Stage = SS22
What is the number of leg for ss17,SELECT COUNT Leg FROM table WHERE Stage = SS17
What is the leg for c. atkinson,SELECT Leg FROM table WHERE Rally leader = C. Atkinson
What's the smallest number of bronze medals that any one if the ensembles has? ,SELECT MIN Bronze Medals FROM table
